Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date
ASM1430635v1	GCF_014306355.1	Salmonella enterica		1663				From INSDC submitter	5172084	Contig	2020-08-26
ASM1430637v1	GCF_014306375.1	Salmonella enterica		585				From INSDC submitter	5200148	Contig	2020-08-26
ASM1430639v1	GCF_014306395.1	Salmonella enterica		578				From INSDC submitter	5180756	Contig	2020-08-26
ASM1430640v1	GCF_014306405.1	Salmonella enterica		501				From INSDC submitter	5137506	Contig	2020-08-26
ASM1430647v1	GCF_014306475.1	Salmonella enterica		383				From INSDC submitter	5134292	Contig	2020-08-26
ASM1430649v1	GCF_014306495.1	Salmonella enterica		431				From INSDC submitter	5190833	Contig	2020-08-26
ASM1430650v1	GCF_014306505.1	Salmonella enterica		303				From INSDC submitter	5128686	Contig	2020-08-26
ASM1430653v1	GCF_014306535.1	Salmonella enterica		137				From INSDC submitter	5315874	Contig	2020-08-26
ASM1430654v1	GCF_014306545.1	Salmonella enterica		345				From INSDC submitter	5187782	Contig	2020-08-26
ASM1430655v1	GCF_014306555.1	Salmonella enterica		91				From INSDC submitter	5133869	Contig	2020-08-26
ASM1430656v1	GCF_014306565.1	Salmonella enterica		59				From INSDC submitter	5171084	Contig	2020-08-26
ASM1430661v1	GCF_014306615.1	Salmonella enterica		69				From INSDC submitter	5141437	Contig	2020-08-26
ASM1433417v1	GCF_014334175.1	Salmonella enterica		SLR1_7697				From INSDC submitter	4870141	Complete Genome	2020-08-30
ASM1433419v1	GCF_014334195.1	Salmonella enterica		SLR1_7966				From INSDC submitter	4982694	Complete Genome	2020-08-30
ASM1433423v1	GCF_014334235.1	Salmonella enterica		SLR1_7627				From INSDC submitter	5021136	Complete Genome	2020-08-30
ASM1433425v1	GCF_014334255.1	Salmonella enterica		SLR1_8250				From INSDC submitter	4774395	Complete Genome	2020-08-30
ASM1452146v1	GCF_014521465.1	Salmonella enterica		K_SA184				From INSDC submitter	4725087	Complete Genome	2020-09-10
ASM1471262v1	GCF_014712625.1	Salmonella enterica		SC1				From INSDC submitter	4893037	Contig	2020-09-23
ASM1485712v1	GCF_014857125.1	Salmonella enterica		S15BD05371				From INSDC submitter	5243448	Contig	2020-10-06
ASM1485734v1	GCF_014857345.1	Salmonella enterica		S15BD05371				From INSDC submitter	5248759	Contig	2020-10-06
ASM1485738v1	GCF_014857385.1	Salmonella enterica		S15BD05371				From INSDC submitter	5112335	Contig	2020-10-06
ASM1485740v1	GCF_014857405.1	Salmonella enterica		S15BD05371				From INSDC submitter	5243584	Contig	2020-10-06
ASM1485745v1	GCF_014857455.1	Salmonella enterica		S15BD05371				From INSDC submitter	5241763	Contig	2020-10-06
ASM1485749v1	GCF_014857495.1	Salmonella enterica		S15BD05371				From INSDC submitter	5082830	Contig	2020-10-06
ASM1485751v1	GCF_014857515.1	Salmonella enterica		S15BD05371				From INSDC submitter	5035759	Contig	2020-10-06
ASM1485754v1	GCF_014857545.1	Salmonella enterica		S15BD05371				From INSDC submitter	5174877	Contig	2020-10-06
ASM1485755v1	GCF_014857555.1	Salmonella enterica		S15BD05371				From INSDC submitter	5176553	Contig	2020-10-06
ASM1502431v1	GCF_015024315.1	Salmonella enterica		DR-022				From INSDC submitter	4680921	Scaffold	2020-10-27
ASM1502435v1	GCF_015024355.1	Salmonella enterica		DR-021				From INSDC submitter	4683919	Contig	2020-10-27
ASM1535152v1	GCF_015351525.1	Salmonella enterica		91A				From INSDC submitter	4976077	Contig	2020-11-10
ASM1564550v1	GCF_015645505.1	Salmonella enterica		LJH 1234				From INSDC submitter	4689399	Scaffold	2020-11-22
ASM1564550v2	GCF_015645505.2	Salmonella enterica		LJH 1234				From INSDC submitter	4645868	Scaffold	2021-05-15
ASM1564551v1	GCF_015645515.1	Salmonella enterica		LJH 614				From INSDC submitter	4645868	Scaffold	2020-11-22
ASM1564551v2	GCF_015645515.2	Salmonella enterica		LJH 614				From INSDC submitter	4689399	Scaffold	2021-05-15
ASM1564552v1	GCF_015645525.1	Salmonella enterica		FSIS 026				From INSDC submitter	4619380	Scaffold	2020-11-22
ASM1564556v1	GCF_015645565.1	Salmonella enterica		H3380				From INSDC submitter	4942086	Scaffold	2020-11-22
ASM1564558v1	GCF_015645585.1	Salmonella enterica		H3527				From INSDC submitter	4728265	Scaffold	2020-11-22
ASM1564563v1	GCF_015645635.1	Salmonella enterica		BAA-1045				From INSDC submitter	4745087	Scaffold	2020-11-22
ASM1594798v1	GCF_015947985.1	Salmonella enterica		S251				From INSDC submitter	5049351	Contig	2020-12-10
ASM1594799v1	GCF_015947995.1	Salmonella enterica		S254				From INSDC submitter	4712431	Contig	2020-12-10
ASM1594800v1	GCF_015948005.1	Salmonella enterica		S255				From INSDC submitter	4967174	Contig	2020-12-10
ASM1594801v1	GCF_015948015.1	Salmonella enterica		S252				From INSDC submitter	4744003	Contig	2020-12-10
ASM1594802v1	GCF_015948025.1	Salmonella enterica		S253				From INSDC submitter	4835394	Contig	2020-12-10
ASM1594808v1	GCF_015948085.1	Salmonella enterica		S249				From INSDC submitter	5114071	Contig	2020-12-10
ASM1594809v1	GCF_015948095.1	Salmonella enterica		S248				From INSDC submitter	5114314	Contig	2020-12-10
ASM1594810v1	GCF_015948105.1	Salmonella enterica		S212				From INSDC submitter	4890534	Contig	2020-12-10
ASM1594811v1	GCF_015948115.1	Salmonella enterica		S219				From INSDC submitter	4904486	Contig	2020-12-10
ASM1594813v1	GCF_015948135.1	Salmonella enterica		S216				From INSDC submitter	4905398	Contig	2020-12-10
ASM1594818v1	GCF_015948185.1	Salmonella enterica		S209				From INSDC submitter	4905921	Contig	2020-12-10
ASM1594820v1	GCF_015948205.1	Salmonella enterica		S208				From INSDC submitter	4905362	Contig	2020-12-10
ASM1594821v1	GCF_015948215.1	Salmonella enterica		S202				From INSDC submitter	4895604	Contig	2020-12-10
ASM1594822v1	GCF_015948225.1	Salmonella enterica		S203				From INSDC submitter	4904049	Contig	2020-12-10
ASM1594824v1	GCF_015948245.1	Salmonella enterica		S204				From INSDC submitter	4905395	Contig	2020-12-10
ASM1594828v1	GCF_015948285.1	Salmonella enterica		S201				From INSDC submitter	4893998	Contig	2020-12-10
ASM1594830v1	GCF_015948305.1	Salmonella enterica		S200				From INSDC submitter	4904311	Contig	2020-12-10
ASM1594831v1	GCF_015948315.1	Salmonella enterica		S198				From INSDC submitter	4802576	Contig	2020-12-10
ASM1594832v1	GCF_015948325.1	Salmonella enterica		S199				From INSDC submitter	4920636	Contig	2020-12-10
ASM1594835v1	GCF_015948355.1	Salmonella enterica		S197				From INSDC submitter	4901505	Contig	2020-12-10
ASM1594838v1	GCF_015948385.1	Salmonella enterica		S196				From INSDC submitter	4903838	Contig	2020-12-10
ASM1594840v1	GCF_015948405.1	Salmonella enterica		S194				From INSDC submitter	4903352	Contig	2020-12-10
ASM1594841v1	GCF_015948415.1	Salmonella enterica		S191				From INSDC submitter	4905608	Contig	2020-12-10
ASM1594842v1	GCF_015948425.1	Salmonella enterica		S188				From INSDC submitter	4903775	Contig	2020-12-10
ASM1594846v1	GCF_015948465.1	Salmonella enterica		S186				From INSDC submitter	4903012	Contig	2020-12-10
ASM1594848v1	GCF_015948485.1	Salmonella enterica		S184				From INSDC submitter	4894914	Contig	2020-12-10
ASM1594850v1	GCF_015948505.1	Salmonella enterica		S171				From INSDC submitter	4738587	Contig	2020-12-10
ASM1594851v1	GCF_015948515.1	Salmonella enterica		S168				From INSDC submitter	4959268	Contig	2020-12-10
ASM1594852v1	GCF_015948525.1	Salmonella enterica		S169				From INSDC submitter	4977525	Contig	2020-12-10
ASM1594856v1	GCF_015948565.1	Salmonella enterica		S162				From INSDC submitter	4836298	Contig	2020-12-10
ASM1594857v1	GCF_015948575.1	Salmonella enterica		S156				From INSDC submitter	4552470	Contig	2020-12-10
ASM1594860v1	GCF_015948605.1	Salmonella enterica		S154				From INSDC submitter	4709149	Contig	2020-12-10
ASM1594863v1	GCF_015948635.1	Salmonella enterica		S153				From INSDC submitter	4597889	Contig	2020-12-10
ASM1594866v1	GCF_015948665.1	Salmonella enterica		S152				From INSDC submitter	4606983	Contig	2020-12-10
ASM1594867v1	GCF_015948675.1	Salmonella enterica		S151				From INSDC submitter	4606643	Contig	2020-12-10
ASM1594870v1	GCF_015948705.1	Salmonella enterica		S150				From INSDC submitter	4602003	Contig	2020-12-10
ASM1594871v1	GCF_015948715.1	Salmonella enterica		S149				From INSDC submitter	4701105	Contig	2020-12-10
ASM1594872v1	GCF_015948725.1	Salmonella enterica		S148				From INSDC submitter	4708732	Contig	2020-12-10
ASM1594876v1	GCF_015948765.1	Salmonella enterica		S147				From INSDC submitter	4592857	Contig	2020-12-10
ASM1594877v1	GCF_015948775.1	Salmonella enterica		S146				From INSDC submitter	5031347	Contig	2020-12-10
ASM1594880v1	GCF_015948805.1	Salmonella enterica		S145				From INSDC submitter	4730568	Contig	2020-12-10
ASM1594881v1	GCF_015948815.1	Salmonella enterica		S143				From INSDC submitter	4992296	Contig	2020-12-10
ASM1594882v1	GCF_015948825.1	Salmonella enterica		S133				From INSDC submitter	4771405	Contig	2020-12-10
ASM1594886v1	GCF_015948865.1	Salmonella enterica		S132				From INSDC submitter	4771046	Contig	2020-12-10
ASM1594888v1	GCF_015948885.1	Salmonella enterica		S126				From INSDC submitter	4894759	Contig	2020-12-10
ASM1594890v1	GCF_015948905.1	Salmonella enterica		S123				From INSDC submitter	4664921	Contig	2020-12-10
ASM1594892v1	GCF_015948925.1	Salmonella enterica		S124				From INSDC submitter	4672116	Contig	2020-12-10
ASM1594893v1	GCF_015948935.1	Salmonella enterica		S125				From INSDC submitter	4742970	Contig	2020-12-10
ASM1594896v1	GCF_015948965.1	Salmonella enterica		S121				From INSDC submitter	4587850	Contig	2020-12-10
ASM1594897v1	GCF_015948975.1	Salmonella enterica		S120				From INSDC submitter	4769446	Contig	2020-12-10
ASM1594898v1	GCF_015948985.1	Salmonella enterica		S118				From INSDC submitter	4593405	Contig	2020-12-10
ASM1594902v1	GCF_015949025.1	Salmonella enterica		S115				From INSDC submitter	4779735	Contig	2020-12-10
ASM1594904v1	GCF_015949045.1	Salmonella enterica		S111				From INSDC submitter	4741632	Contig	2020-12-10
ASM1594906v1	GCF_015949065.1	Salmonella enterica		S114				From INSDC submitter	4748302	Contig	2020-12-10
ASM1594908v1	GCF_015949085.1	Salmonella enterica		S112				From INSDC submitter	4750912	Contig	2020-12-10
ASM1594909v1	GCF_015949095.1	Salmonella enterica		S110				From INSDC submitter	4571977	Contig	2020-12-10
ASM1594912v1	GCF_015949125.1	Salmonella enterica		S109				From INSDC submitter	5202543	Contig	2020-12-10
ASM1594913v1	GCF_015949135.1	Salmonella enterica		S108				From INSDC submitter	4738594	Contig	2020-12-10
ASM1594914v1	GCF_015949145.1	Salmonella enterica		S107				From INSDC submitter	4675497	Contig	2020-12-10
ASM1594918v1	GCF_015949185.1	Salmonella enterica		S105				From INSDC submitter	4771016	Contig	2020-12-10
ASM1594919v1	GCF_015949195.1	Salmonella enterica		S106				From INSDC submitter	4911667	Contig	2020-12-10
ASM1594922v1	GCF_015949225.1	Salmonella enterica		S103				From INSDC submitter	4777264	Contig	2020-12-10
ASM1594924v1	GCF_015949245.1	Salmonella enterica		S104				From INSDC submitter	5003920	Contig	2020-12-10
ASM1594925v1	GCF_015949255.1	Salmonella enterica		S102				From INSDC submitter	4675166	Contig	2020-12-10
ASM1594927v1	GCF_015949275.1	Salmonella enterica		S97				From INSDC submitter	4776722	Contig	2020-12-10
ASM1594930v1	GCF_015949305.1	Salmonella enterica		S99				From INSDC submitter	4704249	Contig	2020-12-10
ASM1594932v1	GCF_015949325.1	Salmonella enterica		S96				From INSDC submitter	4903944	Contig	2020-12-10
ASM1594934v1	GCF_015949345.1	Salmonella enterica		S93				From INSDC submitter	4508549	Contig	2020-12-10
ASM1594935v1	GCF_015949355.1	Salmonella enterica		S94				From INSDC submitter	4671664	Contig	2020-12-10
ASM1594936v1	GCF_015949365.1	Salmonella enterica		S92				From INSDC submitter	4768588	Contig	2020-12-10
ASM1594937v1	GCF_015949375.1	Salmonella enterica		S90				From INSDC submitter	4626318	Contig	2020-12-10
ASM1594942v1	GCF_015949425.1	Salmonella enterica		S82				From INSDC submitter	4567527	Contig	2020-12-10
ASM1594944v1	GCF_015949445.1	Salmonella enterica		S86				From INSDC submitter	4804791	Contig	2020-12-10
ASM1594945v1	GCF_015949455.1	Salmonella enterica		S80				From INSDC submitter	5096757	Contig	2020-12-10
ASM1594947v1	GCF_015949475.1	Salmonella enterica		S70				From INSDC submitter	4780237	Contig	2020-12-10
ASM1594948v1	GCF_015949485.1	Salmonella enterica		S75				From INSDC submitter	4932128	Contig	2020-12-10
ASM1594952v1	GCF_015949525.1	Salmonella enterica		S69				From INSDC submitter	4563637	Contig	2020-12-10
ASM1594954v1	GCF_015949545.1	Salmonella enterica		S68				From INSDC submitter	4872573	Contig	2020-12-10
ASM1594956v1	GCF_015949565.1	Salmonella enterica		S65				From INSDC submitter	4851568	Contig	2020-12-10
ASM1594957v1	GCF_015949575.1	Salmonella enterica		S67				From INSDC submitter	4564651	Contig	2020-12-10
ASM1594959v1	GCF_015949595.1	Salmonella enterica		S66				From INSDC submitter	5438880	Contig	2020-12-10
ASM1594962v1	GCF_015949625.1	Salmonella enterica		S64				From INSDC submitter	4726076	Contig	2020-12-10
ASM1594964v1	GCF_015949645.1	Salmonella enterica		S63				From INSDC submitter	4753373	Contig	2020-12-10
ASM1594966v1	GCF_015949665.1	Salmonella enterica		S62				From INSDC submitter	4737768	Contig	2020-12-10
ASM1594969v1	GCF_015949695.1	Salmonella enterica		S59				From INSDC submitter	4958145	Contig	2020-12-10
ASM1594972v1	GCF_015949725.1	Salmonella enterica		S53				From INSDC submitter	4741027	Contig	2020-12-10
ASM1594974v1	GCF_015949745.1	Salmonella enterica		S52				From INSDC submitter	4560735	Contig	2020-12-10
ASM1594976v1	GCF_015949765.1	Salmonella enterica		S40				From INSDC submitter	4757544	Contig	2020-12-10
ASM1594977v1	GCF_015949775.1	Salmonella enterica		S38				From INSDC submitter	4868089	Contig	2020-12-10
ASM1594979v1	GCF_015949795.1	Salmonella enterica		S39				From INSDC submitter	4568099	Contig	2020-12-10
ASM1601742v1	GCF_016017425.1	Salmonella enterica		S85				From INSDC submitter	4755872	Contig	2020-12-14
ASM1601744v1	GCF_016017445.1	Salmonella enterica		S84				From INSDC submitter	4756242	Contig	2020-12-14
ASM1601745v1	GCF_016017455.1	Salmonella enterica		S83				From INSDC submitter	4847381	Contig	2020-12-14
ASM1601747v1	GCF_016017475.1	Salmonella enterica		S82				From INSDC submitter	4840761	Contig	2020-12-14
ASM1601751v1	GCF_016017515.1	Salmonella enterica		S81				From INSDC submitter	4903132	Contig	2020-12-14
ASM1601752v1	GCF_016017525.1	Salmonella enterica		S79				From INSDC submitter	4747867	Contig	2020-12-14
ASM1601755v1	GCF_016017555.1	Salmonella enterica		S80				From INSDC submitter	4753853	Contig	2020-12-14
ASM1601756v1	GCF_016017565.1	Salmonella enterica		S78				From INSDC submitter	4705525	Contig	2020-12-14
ASM1601758v1	GCF_016017585.1	Salmonella enterica		S77				From INSDC submitter	5061822	Contig	2020-12-14
ASM1601761v1	GCF_016017615.1	Salmonella enterica		S76				From INSDC submitter	4746756	Contig	2020-12-14
ASM1601762v1	GCF_016017625.1	Salmonella enterica		S75				From INSDC submitter	4754944	Contig	2020-12-14
ASM1601765v1	GCF_016017655.1	Salmonella enterica		S74				From INSDC submitter	4755641	Contig	2020-12-14
ASM1601766v1	GCF_016017665.1	Salmonella enterica		S73				From INSDC submitter	4750738	Contig	2020-12-14
ASM1601767v1	GCF_016017675.1	Salmonella enterica		S72				From INSDC submitter	4748736	Contig	2020-12-14
ASM1601771v1	GCF_016017715.1	Salmonella enterica		S71				From INSDC submitter	4746408	Contig	2020-12-14
ASM1601772v1	GCF_016017725.1	Salmonella enterica		S70				From INSDC submitter	4751262	Contig	2020-12-14
ASM1601775v1	GCF_016017755.1	Salmonella enterica		S69				From INSDC submitter	4751111	Contig	2020-12-14
ASM1601776v1	GCF_016017765.1	Salmonella enterica		S67				From INSDC submitter	4757477	Contig	2020-12-14
ASM1601778v1	GCF_016017785.1	Salmonella enterica		S68				From INSDC submitter	4751190	Contig	2020-12-14
ASM1601781v1	GCF_016017815.1	Salmonella enterica		S66				From INSDC submitter	4747306	Contig	2020-12-14
ASM1601782v1	GCF_016017825.1	Salmonella enterica		S65				From INSDC submitter	4757818	Contig	2020-12-14
ASM1601785v1	GCF_016017855.1	Salmonella enterica		S64				From INSDC submitter	4843724	Contig	2020-12-14
ASM1601786v1	GCF_016017865.1	Salmonella enterica		S60				From INSDC submitter	4750108	Contig	2020-12-14
ASM1601788v1	GCF_016017885.1	Salmonella enterica		S63				From INSDC submitter	4798167	Contig	2020-12-14
ASM1601791v1	GCF_016017915.1	Salmonella enterica		S61				From INSDC submitter	4750569	Contig	2020-12-14
ASM1601792v1	GCF_016017925.1	Salmonella enterica		S59				From INSDC submitter	4751548	Contig	2020-12-14
ASM1601794v1	GCF_016017945.1	Salmonella enterica		S57				From INSDC submitter	4736032	Contig	2020-12-14
ASM1601797v1	GCF_016017975.1	Salmonella enterica		S56				From INSDC submitter	4756020	Contig	2020-12-14
ASM1601798v1	GCF_016017985.1	Salmonella enterica		S54				From INSDC submitter	4705984	Contig	2020-12-14
ASM1601801v1	GCF_016018015.1	Salmonella enterica		S53				From INSDC submitter	4692156	Contig	2020-12-14
ASM1601803v1	GCF_016018035.1	Salmonella enterica		S52				From INSDC submitter	4757329	Contig	2020-12-14
ASM1601804v1	GCF_016018045.1	Salmonella enterica		S51				From INSDC submitter	4706252	Contig	2020-12-14
ASM1601805v1	GCF_016018055.1	Salmonella enterica		S50				From INSDC submitter	4941797	Contig	2020-12-14
ASM1601807v1	GCF_016018075.1	Salmonella enterica		S49				From INSDC submitter	4756981	Contig	2020-12-14
ASM1601811v1	GCF_016018115.1	Salmonella enterica		S48				From INSDC submitter	4757130	Contig	2020-12-14
ASM1601813v1	GCF_016018135.1	Salmonella enterica		S47				From INSDC submitter	4749922	Contig	2020-12-14
ASM1601814v1	GCF_016018145.1	Salmonella enterica		S46				From INSDC submitter	4749697	Contig	2020-12-14
ASM1601815v1	GCF_016018155.1	Salmonella enterica		S45				From INSDC submitter	4792180	Contig	2020-12-14
ASM1601817v1	GCF_016018175.1	Salmonella enterica		S44				From INSDC submitter	4756684	Contig	2020-12-14
ASM1601821v1	GCF_016018215.1	Salmonella enterica		S43				From INSDC submitter	4735194	Contig	2020-12-14
ASM1601823v1	GCF_016018235.1	Salmonella enterica		S42				From INSDC submitter	4750194	Contig	2020-12-14
ASM1601825v1	GCF_016018255.1	Salmonella enterica		S40				From INSDC submitter	4734145	Contig	2020-12-14
ASM1601826v1	GCF_016018265.1	Salmonella enterica		S41				From INSDC submitter	4749626	Contig	2020-12-14
ASM1601827v1	GCF_016018275.1	Salmonella enterica		S39				From INSDC submitter	4753140	Contig	2020-12-14
ASM1601831v1	GCF_016018315.1	Salmonella enterica		S38				From INSDC submitter	4735327	Contig	2020-12-14
ASM1601832v1	GCF_016018325.1	Salmonella enterica		S37				From INSDC submitter	4750864	Contig	2020-12-14
ASM1601835v1	GCF_016018355.1	Salmonella enterica		S35				From INSDC submitter	4757201	Contig	2020-12-14
ASM1601836v1	GCF_016018365.1	Salmonella enterica		S34				From INSDC submitter	4706366	Contig	2020-12-14
ASM1601837v1	GCF_016018375.1	Salmonella enterica		S36				From INSDC submitter	4705753	Contig	2020-12-14
ASM1601841v1	GCF_016018415.1	Salmonella enterica		S33				From INSDC submitter	4706874	Contig	2020-12-14
ASM1601842v1	GCF_016018425.1	Salmonella enterica		S32				From INSDC submitter	4747041	Contig	2020-12-14
ASM1601844v1	GCF_016018445.1	Salmonella enterica		S31				From INSDC submitter	4737823	Contig	2020-12-14
ASM1601845v1	GCF_016018455.1	Salmonella enterica		S29				From INSDC submitter	4756629	Contig	2020-12-14
ASM1601847v1	GCF_016018475.1	Salmonella enterica		S30				From INSDC submitter	4750289	Contig	2020-12-14
ASM1601851v1	GCF_016018515.1	Salmonella enterica		S28				From INSDC submitter	4756563	Contig	2020-12-14
ASM1601852v1	GCF_016018525.1	Salmonella enterica		S27				From INSDC submitter	4751188	Contig	2020-12-14
ASM1601855v1	GCF_016018555.1	Salmonella enterica		S24				From INSDC submitter	4755206	Contig	2020-12-14
ASM1601856v1	GCF_016018565.1	Salmonella enterica		S26				From INSDC submitter	4754038	Contig	2020-12-14
ASM1601857v1	GCF_016018575.1	Salmonella enterica		S25				From INSDC submitter	4749955	Contig	2020-12-14
ASM1601861v1	GCF_016018615.1	Salmonella enterica		S22				From INSDC submitter	4759478	Contig	2020-12-14
ASM1601862v1	GCF_016018625.1	Salmonella enterica		S23				From INSDC submitter	4744936	Contig	2020-12-14
ASM1601865v1	GCF_016018655.1	Salmonella enterica		S19				From INSDC submitter	4750406	Contig	2020-12-14
ASM1601866v1	GCF_016018665.1	Salmonella enterica		S21				From INSDC submitter	4702731	Contig	2020-12-14
ASM1601868v1	GCF_016018685.1	Salmonella enterica		S20				From INSDC submitter	4705962	Contig	2020-12-14
ASM1601871v1	GCF_016018715.1	Salmonella enterica		S17				From INSDC submitter	4744414	Contig	2020-12-14
ASM1601872v1	GCF_016018725.1	Salmonella enterica		S18				From INSDC submitter	4912453	Contig	2020-12-14
ASM1601875v1	GCF_016018755.1	Salmonella enterica		S16				From INSDC submitter	4804671	Contig	2020-12-14
ASM1601876v1	GCF_016018765.1	Salmonella enterica		S15				From INSDC submitter	4758203	Contig	2020-12-14
ASM1601877v1	GCF_016018775.1	Salmonella enterica		S14				From INSDC submitter	4753367	Contig	2020-12-14
ASM1601881v1	GCF_016018815.1	Salmonella enterica		S12				From INSDC submitter	4751128	Contig	2020-12-14
ASM1601882v1	GCF_016018825.1	Salmonella enterica		S13				From INSDC submitter	4756122	Contig	2020-12-14
ASM1601885v1	GCF_016018855.1	Salmonella enterica		S11				From INSDC submitter	4743495	Contig	2020-12-14
ASM1601886v1	GCF_016018865.1	Salmonella enterica		S9				From INSDC submitter	4756623	Contig	2020-12-14
ASM1601887v1	GCF_016018875.1	Salmonella enterica		S10				From INSDC submitter	4757005	Contig	2020-12-14
ASM1601891v1	GCF_016018915.1	Salmonella enterica		S8				From INSDC submitter	4746590	Contig	2020-12-14
ASM1601892v1	GCF_016018925.1	Salmonella enterica		S7				From INSDC submitter	4703937	Contig	2020-12-14
ASM1601895v1	GCF_016018955.1	Salmonella enterica		S6				From INSDC submitter	4846717	Contig	2020-12-14
ASM1601897v1	GCF_016018975.1	Salmonella enterica		S4				From INSDC submitter	4706901	Contig	2020-12-14
ASM1601898v1	GCF_016018985.1	Salmonella enterica		S5				From INSDC submitter	4758120	Contig	2020-12-14
ASM1601901v1	GCF_016019015.1	Salmonella enterica		S3				From INSDC submitter	4758228	Contig	2020-12-14
ASM1601902v1	GCF_016019025.1	Salmonella enterica		S2				From INSDC submitter	4704755	Contig	2020-12-14
ASM1601905v1	GCF_016019055.1	Salmonella enterica		S1				From INSDC submitter	4864350	Contig	2020-12-14
ASM1601946v1	GCF_016019465.1	Salmonella enterica		S207				From INSDC submitter	4894727	Contig	2020-12-14
ASM1601948v1	GCF_016019485.1	Salmonella enterica		S187				From INSDC submitter	4904681	Contig	2020-12-14
ASM1601951v1	GCF_016019515.1	Salmonella enterica		S185				From INSDC submitter	4905041	Contig	2020-12-14
ASM1601953v1	GCF_016019535.1	Salmonella enterica		S183				From INSDC submitter	4907143	Contig	2020-12-14
ASM1601954v1	GCF_016019545.1	Salmonella enterica		S172				From INSDC submitter	4702229	Contig	2020-12-14
ASM1601956v1	GCF_016019565.1	Salmonella enterica		S170				From INSDC submitter	4893131	Contig	2020-12-14
ASM1601957v1	GCF_016019575.1	Salmonella enterica		S167				From INSDC submitter	4831730	Contig	2020-12-14
ASM1601961v1	GCF_016019615.1	Salmonella enterica		S164				From INSDC submitter	4835176	Contig	2020-12-14
ASM1601963v1	GCF_016019635.1	Salmonella enterica		S140				From INSDC submitter	4996926	Contig	2020-12-14
ASM1601965v1	GCF_016019655.1	Salmonella enterica		S91				From INSDC submitter	4621689	Contig	2020-12-14
ASM1601966v1	GCF_016019665.1	Salmonella enterica		S83				From INSDC submitter	4934199	Contig	2020-12-14
ASM1601967v1	GCF_016019675.1	Salmonella enterica		S74				From INSDC submitter	4721010	Contig	2020-12-14
ASM1601971v1	GCF_016019715.1	Salmonella enterica		S72				From INSDC submitter	4753347	Contig	2020-12-14
ASM1601973v1	GCF_016019735.1	Salmonella enterica		S71				From INSDC submitter	4863229	Contig	2020-12-14
ASM1601975v1	GCF_016019755.1	Salmonella enterica		S61				From INSDC submitter	4747645	Contig	2020-12-14
ASM1601976v1	GCF_016019765.1	Salmonella enterica		S58				From INSDC submitter	4890103	Contig	2020-12-14
ASM1602671v1	GCF_016026715.1	Salmonella enterica		FDAARGOS_928				From INSDC submitter	4951410	Complete Genome	2020-12-14
ASM1602849v1	GCF_016028495.1	Salmonella enterica		FDAARGOS_878				From INSDC submitter	4968720	Complete Genome	2020-12-14
ASM1607119v1	GCF_016071195.1	Salmonella enterica		GX1006				From INSDC submitter	4944558	Complete Genome	2020-12-15
ASM1611783v1	GCF_016117835.1	Salmonella enterica		FDAARGOS_879				From INSDC submitter	4801603	Chromosome	2020-12-19
ASM1612743v1	GCF_016127435.1	Salmonella enterica		FDAARGOS_1067				From INSDC submitter	5067311	Complete Genome	2020-12-20
ASM1612783v1	GCF_016127835.1	Salmonella enterica		FDAARGOS_1066				From INSDC submitter	4736480	Complete Genome	2020-12-20
ASM1665712v1	GCF_016657125.1	Salmonella enterica		colony_17				From INSDC submitter	4557079	Chromosome	2021-01-18
ASM1665726v1	GCF_016657265.1	Salmonella enterica		colony_14				From INSDC submitter	4550588	Chromosome	2021-01-18
ASM1685822v1	GCF_016858225.1	Salmonella enterica		889B				From INSDC submitter	4672314	Scaffold	2021-02-09
ASM1688964v1	GCF_016889645.1	Salmonella enterica		FDAARGOS_1271				From INSDC submitter	4804092	Complete Genome	2021-02-15
ASM1691737v1	GCF_016917375.1	Salmonella enterica		Colony582				From INSDC submitter	4552700	Chromosome	2021-02-22
ASM1691741v1	GCF_016917415.1	Salmonella enterica		Colony568				From INSDC submitter	4552575	Chromosome	2021-02-22
ASM1691743v1	GCF_016917435.1	Salmonella enterica		Colony114				From INSDC submitter	4552699	Chromosome	2021-02-22
ASM1691745v1	GCF_016917455.1	Salmonella enterica		Colony593				From INSDC submitter	4552879	Chromosome	2021-02-22
ASM1691747v1	GCF_016917475.1	Salmonella enterica		Colony598				From INSDC submitter	4552575	Chromosome	2021-02-22
ASM1691749v1	GCF_016917495.1	Salmonella enterica		Colony564				From INSDC submitter	4552574	Chromosome	2021-02-22
ASM1691751v1	GCF_016917515.1	Salmonella enterica		Colony561				From INSDC submitter	4552880	Chromosome	2021-02-22
ASM1691755v1	GCF_016917555.1	Salmonella enterica		Colony539				From INSDC submitter	4552574	Chromosome	2021-02-22
ASM1691759v1	GCF_016917595.1	Salmonella enterica		Colony118				From INSDC submitter	4552700	Chromosome	2021-02-22
ASM1691761v1	GCF_016917615.1	Salmonella enterica		Colony117				From INSDC submitter	4552699	Chromosome	2021-02-22
ASM1691763v1	GCF_016917635.1	Salmonella enterica		Colony116				From INSDC submitter	4552700	Chromosome	2021-02-22
